framework;topic_area;WP_section;section_code;thema_name_en;thema_code;WP_period
FP6;NUWASTE-2005/6-3.2.2.1-3;;;Radioactive waste management;Euratom-C;
FP6;NUWASTE-2005/6-3.2.2.1-4;;;Radioactive waste management;Euratom-C;
FP6;NUWASTE-2005/6-3.2.3.1-1;;;Radioactive waste management;Euratom-C;
FP6;RAD PROT-2003- 3.3.1.;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2003- 3.3.2.;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2003-3.3.4.1;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2004- 3.3.1.;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2004- 3.3.2.;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2004-3.3.3.1;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2004-3.3.5.1;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2005/6-3.3.1.1-1;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2005/6-3.3.1.1-2;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2005/6-3.3.3.1-1;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2005/6-3.3.3.1-2;;;Radiation protection;Euratom-E;
FP6;RAD PROT-2005/6-3.3.4.1-2;;;Radiation protection;Euratom-E;
