category_id;category_name;category_priority;non
pkyOU;Op?rateur du programme 126 - Conseil ?conomique, social et environnemental;99;
AA6t7;Op?rateur du programme 144 - Environnement et prospective de la politique de d?fense;99;
ev8nm;Op?rateur du programme 165 - Conseil d'?tat et autres juridictions administratives;99;
ccru6;Op?rateur du programme 212 - Soutien de la politique de la d?fense;99;
SjC7j;Op?rateur du programme 178 - Pr?paration et emploi des forces;99;
9u2aY;Op?rateur du programme 732 - D?sendettement de l'?tat et d'?tablissements publics de l'?tat;99;
h2w3f;Op?rateur du programme 146 - ?quipement des forces;99;
H0QIZ;Op?rateur du programme 117 - Charge de la dette et tr?sorerie de l'?tat (cr?dits ?valuatifs);99;
JaALe;Op?rateur du programme 344 - Fonds de soutien relatif aux pr?ts et contrats financiers structur?s ? risque;99;
89Sei;Op?rateur du programme 336 - Dotation du M?canisme europ?en de stabilit?;99;
13zBO;Op?rateur du programme 338 - Augmentation de capital de la Banque europ?enne d'investissement;99;
y05Np;Op?rateur du programme 731 - Op?rations en capital int?ressant les participations financi?res de l'?tat;99;
HNQ6C;Op?rateur du programme 180 - Presse et m?dias;99;
yhd8a;Op?rateur du programme 335 - Conseil sup?rieur de la magistrature;99;
KnO1Z;Op?rateur du programme 114 - Appels en garantie de l'?tat (cr?dits ?valuatifs);99;
rCC9H;Op?rateur du programme 145 - ?pargne;99;
Z7866;Op?rateur du programme 101 - Acc?s au droit et ? la justice;99;
0nk3N;Op?rateur du programme 182 - Protection judiciaire de la jeunesse;99;
KBqqz;Op?rateur du programme 334 - Livre et industries culturelles;99;
kPdfr;Op?rateur du programme 310 - Conduite et pilotage de la politique de la justice;99;
zywuQ;Op?rateur du programme 107 - Administration p?nitentiaire;99;
3f2iv;Op?rateur du programme 302 - Facilitation et s?curisation des ?changes;99;
AG5P7;Op?rateur du programme 721 - Contribution des cessions immobili?res au d?sendettement de l'?tat;99;
hgr8h;Op?rateur du programme 166 - Justice judiciaire;99;
4JnF9;Op?rateur du programme 218 - Conduite et pilotage des politiques ?conomiques et financi?res;99;
yc77u;Op?rateur du programme 148 - Fonction publique;99;
t08f9;Op?rateur du programme 156 - Gestion fiscale et financi?re de l'?tat et du secteur public local;99;
g3rGL;Op?rateur du programme 542 - Indemnit?s des repr?sentants fran?ais au Parlement europ?en;99;
721AJ;Op?rateur du programme 723 - Op?rations immobili?res et entretien des b?timents de l'?tat;99;
9bOaX;Op?rateur du programme 521 - S?nat;99;
8K6eg;Op?rateur du programme 869 - Pr?ts ? la soci?t? concessionnaire de la liaison express entre Paris et l'a?roport Paris-Charles de Gaulle;99;
yTp73;Op?rateur du programme 541 - La Cha?ne parlementaire;99;
2O6W2;Op?rateur du programme 823 - Avances ? des organismes distincts de l'?tat et g?rant des services publics;99;
xS2VH;Op?rateur du programme 825 - Avances ? l'Office national d'indemnisation des accidents m?dicaux, des affections iatrog?nes et des infections nosocomiales (ONIAM) au titre de l'indemnisation des victimes du Benfluorex;99;
2KTp4;Op?rateur du programme 862 - Pr?ts pour le d?veloppement ?conomique et social;99;
CGu7y;Op?rateur du programme 123 - Conditions de vie outre-mer;99;
2W4cS;Op?rateur du programme 824 - Avances ? des services de l'?tat;99;
Rzn3p;Op?rateur du programme 786 - Mat?riel roulant des services nationaux de transport conventionn?s;99;
vrNvH;Op?rateur du programme 167 - Liens entre la Nation et son arm?e;99;
2Rbjr;Op?rateur du programme 138 - Emploi outre-mer;99;
GSnl0;Op?rateur du programme 753 - Contr?le et modernisation de la politique de la circulation et du stationnement routiers;99;
334Tj;Op?rateur du programme 854 - Pr?ts aux ?tats membres de l'Union europ?enne dont la monnaie est l'euro;99;
949jx;Op?rateur du programme 754 - Contribution ? l'?quipement des collectivit?s territoriales pour l'am?lioration des transports en commun, de la s?curit? et de la circulation routi?res;99;
dd4Yl;Op?rateur du programme 532 - Haute Cour;99;
9T2OR;Op?rateur du programme 511 - Assembl?e nationale;99;
r9252;Op?rateur du programme 531 - Conseil constitutionnel;99;
7cvqO;Op?rateur du programme 169 - Reconnaissance et r?paration en faveur du monde combattant;99;
CYYh7;Op?rateur du programme 501 - Pr?sidence de la R?publique;99;
983Tz;Op?rateur du programme 821 - Avances ? l'Agence de services et de paiement, au titre du pr?financement des aides communautaires de la politique agricole commune;99;
gK276;Op?rateur du programme 533 - Cour de justice de la R?publique;99;
02ppx;Op?rateur du programme 861 - Pr?ts et avances pour le logement des agents de l'?tat;99;
QT1BF;Op?rateur du programme 785 - Exploitation des services nationaux de transport conventionn?s;99;
2NJQN;Op?rateur du programme 158 - Indemnisation des victimes des pers?cutions antis?mites et des actes de barbarie pendant la seconde guerre mondiale;99;
389d6;Op?rateur du programme 868 - Pr?ts et avances pour le d?veloppement du commerce avec l'Iran;99;
EdO33;Op?rateur du programme 755 - D?sendettement de l'?tat;99;
MJpsT;Op?rateur du programme 751 - Structures et dispositifs de s?curit? routi?re;99;
RP21b;Op?rateur du programme 852 - Pr?ts ? des ?tats ?trangers pour consolidation de dettes envers la France;99;
OG84w;Op?rateur du programme 847 - TV5 Monde;99;
dex7q;Op?rateur du programme 853 - Pr?ts ? l'Agence fran?aise de d?veloppement en vue de favoriser le d?veloppement ?conomique et social dans des ?tats ?trangers;99;
9dxx2;Op?rateur du programme 851 - Pr?ts du Tr?sor ? des ?tats ?trangers en vue de faciliter la vente de biens et de services concourant au d?veloppement du commerce ext?rieur de la France;99;
kT3eR;Op?rateur du programme 841 - France T?l?visions;99;
UdcwZ;Op?rateur du programme 843 - Radio France;99;
C4MSF;Op?rateur du programme 197 - R?gimes de retraite et de s?curit? sociale des marins;99;
X9UCO;Op?rateur du programme 845 - Institut national de l'audiovisuel;99;
IkuJa;Op?rateur du programme 198 - R?gimes sociaux et de retraite des transports terrestres;99;
PJQGc;Op?rateur du programme 844 - France M?dias Monde;99;
lqXMK;Op?rateur du programme 552 - D?penses accidentelles et impr?visibles;99;
25XlB;Op?rateur du programme 161 - S?curit? civile;99;
CQ1Sn;Op?rateur du programme 551 - Provision relative aux r?mun?rations publiques;99;
4n3GF;Op?rateur du programme 152 - Gendarmerie nationale;99;
K1Z77;Op?rateur du programme 207 - S?curit? et ?ducation routi?res;99;
jUmgr;Op?rateur du programme 195 - R?gimes de retraite des mines, de la SEITA et divers;99;
fAjA5;Op?rateur du programme 176 - Police nationale;99;
LEZ80;Op?rateur du programme 796 - R?trocessions de trop-per?us ? la Banque de France;99;
F6LTS;Op?rateur du programme 842 - ARTE France;99;
XzClh;Op?rateur du programme 183 - Protection maladie;99;
njt4u;Op?rateur du programme 204 - Pr?vention, s?curit? sanitaire et offre de soins;99;
fNGpC;Op?rateur du programme 119 - Concours financiers aux collectivit?s territoriales et ? leurs groupements;99;
lfgrp;Op?rateur du programme 122 - Concours sp?cifiques et administration;99;
7VQue;Op?rateur du programme 795 - Versement de la France ? la Gr?ce au titre de la restitution ? cet ?tat des revenus per?us sur les titres grecs;99;
W4Ti9;Op?rateur du programme 217 - Conduite et pilotage des politiques de l'?cologie, du d?veloppement et de la mobilit? durables;99;
MFOe6;Op?rateur du programme 203 - Infrastructures et services de transports;99;
wpzGh;Op?rateur du programme 355 - Charge de la dette de SNCF R?seau reprise par l'?tat (cr?dits ?valuatifs);99;
kH347;Op?rateur du programme 345 - Service public de l'?nergie;99;
8rLBy;Op?rateur du programme 205 - Affaires maritimes;99;
p7nuY;Op?rateur du programme 159 - Expertise, ?conomie sociale et solidaire, information g?ographique et m?t?orologie;99;
N4k1n;Op?rateur du programme 174 - ?nergie, climat et apr?s-mines;99;
8cXCc;Op?rateur du programme 113 - Paysages, eau et biodiversit?;99;
3R0Yp;Op?rateur du programme 137 - ?galit? entre les femmes et les hommes;99;
54w49;Op?rateur du programme 181 - Pr?vention des risques;99;
d22T8;Op?rateur du programme 304 - Inclusion sociale et protection des personnes;99;
3bMEE;Op?rateur du programme 352 - Fonds pour l'acc?l?ration du financement des start-up d'?tat;99;
GF737;Op?rateur du programme 351 - Fonds d'accompagnement interminist?riel Ressources humaines;99;
XLNIP;Op?rateur du programme 124 - Conduite et soutien des politiques sanitaires, sociales, du sport, de la jeunesse et de la vie associative;99;
GIdGs;Op?rateur du programme 157 - Handicap et d?pendance;99;
bwKN7;Op?rateur du programme 348 - R?novation des cit?s administratives et autres sites domaniaux multi-occupants;99;
jWHaX;Op?rateur du programme 350 - Jeux olympiques et paralympiques 2024;99;
X91YZ;Op?rateur du programme 349 - Fonds pour la transformation de l'action publique;99;
JyOlU;Op?rateur du programme 421 - Soutien des progr?s de l'enseignement et de la recherche;99;
7WNC7;Op?rateur du programme 422 - Valorisation de la recherche;99;
Ql9Ay;Op?rateur du programme 219 - Sport;99;
58Cc5;Op?rateur du programme 105 - Action de la France en Europe et dans le monde;99;
FxUbf;Op?rateur du programme 191 - Recherche duale (civile et militaire);99;
DCM1O;Op?rateur du programme 172 - Recherches scientifiques et technologiques pluridisciplinaires;99;
LzU7R;Op?rateur du programme 190 - Recherche dans les domaines de l'?nergie, du d?veloppement et de la mobilit? durables;99;
R6kD4;Op?rateur du programme 793 - ?lectrification rurale;99;
iyn79;Op?rateur du programme 150 - Formations sup?rieures et recherche universitaire;99;
2WxyW;Op?rateur du programme 104 - Int?gration et acc?s ? la nationalit? fran?aise;99;
T9FX8;Op?rateur du programme 163 - Jeunesse et vie associative;99;
8hdZn;Op?rateur du programme 812 - Relations avec l'Union mon?taire d'Afrique centrale;99;
GkcqV;Op?rateur du programme 177 - H?bergement, parcours vers le logement et insertion des personnes vuln?rables;99;
T7KEt;Op?rateur du programme 201 - Remboursements et d?gr?vements d'imp?ts locaux (cr?dits ?valuatifs);99;
Es1dv;Op?rateur du programme 192 - Recherche et enseignement sup?rieur en mati?re ?conomique et industrielle;99;
9hDh0;Op?rateur du programme 109 - Aide ? l'acc?s au logement;99;
GMia3;Op?rateur du programme 214 - Soutien de la politique de l'?ducation nationale;99;
b6ZlG;Op?rateur du programme 193 - Recherche spatiale;99;
QHrWj;Op?rateur du programme 811 - Relations avec l'Union mon?taire ouest-africaine;99;
GLV4R;Op?rateur du programme 832 - Avances aux collectivit?s et ?tablissements publics, et ? la Nouvelle-Cal?donie;99;
W2Ipz;Op?rateur du programme 612 - Navigation a?rienne;99;
5v9Xy;Op?rateur du programme 794 - Op?rations de ma?trise de la demande d??lectricit?, de production d??lectricit? par des ?nergies renouvelables ou de production de proximit? dans les zones non interconnect?es;99;
i657d;Op?rateur du programme 624 - Pilotage et ressources humaines;99;
aW756;Op?rateur du programme 613 - Soutien aux prestations de l'aviation civile;99;
5PTgZ;Op?rateur du programme 102 - Acc?s et retour ? l'emploi;99;
594un;Op?rateur du programme 112 - Impulsion et coordination de la politique d'am?nagement du territoire;99;
1N7ts;Op?rateur du programme 142 - Enseignement sup?rieur et recherche agricoles;99;
rRHV8;Op?rateur du programme 231 - Vie ?tudiante;99;
l4gMc;Op?rateur du programme 186 - Recherche culturelle et culture scientifique;99;
nhu6b;Op?rateur du programme 111 - Am?lioration de la qualit? de l'emploi et des relations du travail;99;
uiYEL;Vague B;99;n
8IkXZ;Op?rateur du programme 776 - Recherche appliqu?e et innovation en agriculture;99;
KEL39;Vague D;99;n
7tbuw;Vague A;99;n
385EZ;Vague C;99;n
2lRl8;Vague E;99;n
2SZlU;Principaux ?tablissements d'enseignement sup?rieur;99;n
7cOrI;Op?rateur du programme 141 - Enseignement scolaire public du second degr?;99;
mpO3r;Op?rateur du programme 135 - Urbanisme, territoires et am?lioration de l'habitat;99;
JqttA;Op?rateur du programme 162 - Interventions territoriales de l'?tat;99;
k2249;Op?rateur du programme 143 - Enseignement technique agricole;99;
TZmlZ;Op?rateur du programme 139 - Enseignement priv? du premier et du second degr?s;99;
vfnz1;Op?rateur du programme 155 - Conception, gestion et ?valuation des politiques de l'emploi et du travail;99;
OpsqA;Op?rateur du programme 764 - Soutien ? la transition ?nerg?tique;99;
3ITz3;Op?rateur du programme 140 - Enseignement scolaire public du premier degr?;99;
lxT0Z;Op?rateur du programme 813 - Relations avec l'Union des Comores;99;
57ST1;Op?rateur du programme 200 - Remboursements et d?gr?vements d'imp?ts d'?tat (cr?dits ?valuatifs);99;
Hsjjj;Op?rateur du programme 614 - Transports a?riens, surveillance et certification;99;
Ax9mq;Op?rateur du programme 147 - Politique de la ville;99;
X6p8O;Op?rateur du programme 303 - Immigration et asile;99;
6P1w9;Op?rateur du programme 151 - Fran?ais ? l'?tranger et affaires consulaires;99;
BzP5W;Op?rateur du programme 765 - Engagements financiers li?s ? la transition ?nerg?tique;99;
6BvfC;Op?rateur du programme 423 - Acc?l?ration de la modernisation des entreprises;99;
paEgT;Op?rateur du programme 185 - Diplomatie culturelle et d'influence;99;
FwXW3;Op?rateur du programme 623 - ?dition et diffusion;99;
UF9kJ;Op?rateur du programme 103 - Accompagnement des mutations ?conomiques et d?veloppement de l'emploi;99;
hK259;Op?rateur du programme 230 - Vie de l'?l?ve;99;
nnhRE;Op?rateur du programme 775 - D?veloppement et transfert en agriculture;99;
kGw4M;Op?rateur du programme 833 - Avances sur le montant des impositions revenant aux r?gions, d?partements, communes, ?tablissements et divers organismes;99;
qkupo;Alliance d'influence et de valorisation de la recherche et de l'innovation;99;n
99bli;Alliance d'établissements d'enseignement supérieur français;99;n
p1bpz;Institut du service public;5;
fm54m;Petite & moyenne entreprise (SIRENE);99;
5xfts;Entreprise de taille intermédiaire (SIRENE);99;
od2su;Grande entreprise (SIRENE);99;
z2vxd;Catégories d'entreprises (SIRENE);99;
l49sc;Contrôle administratif et financier assuré par le recteur de région académique;99;n
5re7d;Contrôle administratif et financier assuré par le ministre en charge de l'Enseignement supérieur;99;n
bdj1g;Contrôle administratif et budgétaire des opérateurs;99;n
4d6gi;Contrôle administratif du recteur de l'académie de Paris, recteur de la région académique Ile-de-France, et budgétaire du DRFiP;99;n
rn3vd;Contrôle administratif et budgétaire assuré par le recteur de l'académie de Paris;99;n
oyt6i;Contrôle administratif du ministre en charge de l'Enseignement supérieur et budgétaire du recteur de l'académie de Paris;99;n
d14wq;Contrôle administratif du ministre en charge de l'Enseignement supérieur et budgétaire du recteur de région académique;99;n
87rkc;Contrôle administratif et budgétaire assuré par le ministre en charge de l'Enseignement supérieur et de l’Industrie;99;n
ql5rx;Autorité constitutionnelle;99;n
jvv90;Contrôle administratif et budgétaire assuré par le ministre en charge de l'Enseignement supérieur;99;n
ovz6x;Contrôle administratif et budgétaire assuré par le recteur de région académique;99;n
u8dxt;Contrôle administratif et financier du recteur de la région académique Île-de-France, et budgétaire du DRFiP;99;n
